doi,paper_title,year,journal,sub_field,data_source,best_algorithm,best_metric_type,best_metric_value,validation_method,interpretability_method,model_framework,control_loop_type,scale,dataset_size,time_span,real_time_testing,deployed_in_plant,uses_real_wastewater,code_available,data_available,uncertainty_quantification,ml_algorithms,target_variable
10.1038/s41598-023-36333-8,Development and application of random forest regression soft sensor model for treating domestic wastewater in a sequencing batch reactor,2023,Scientific Reports,WWTP,experimental,RF,R2,0.763,random_split,feature_importance,not_specified,closed_loop,pilot,40.0,,False,False,True,False,False,False,ANN; LR; Neuro-fuzzy networks; RF; RFR; SVR,effluent COD concentration
10.1038/s41598-023-50805-x,Modeling of two-stage anaerobic onsite wastewater sanitation system to predict effluent soluble chemical oxygen demand through machine learning,2024,Scientific Reports,sludge,experimental,ANN,R2,0.959,random_split,none,matlab,none,lab,307.0,1 year,False,False,True,False,False,False,ANN; DT; LR; RF,effluent soluble chemical oxygen demand; effluent soluble chemical oxygen demand (SCOD)
10.1038/s41598-024-53407-3,Performance analysis and modelling of circular jets aeration in an open channel using soft computing techniques,2024,Scientific Reports,WWTP,experimental,ANN,other,0.9823,random_split,none,weka,none,lab,63.0,,False,False,False,False,False,False,ANN; DT; LR; M5P; RF,aeration efficiency (E20)
10.1038/s41598-024-53746-1,Using symbolic machine learning to assess and model substance transport and decay in water distribution networks,2024,Scientific Reports,monitoring,simulated,EPR,R2,0.99963,external,none,not_specified,none,simulation,,2 days,False,False,False,False,True,False,EPR,nodal chlorine concentration
10.1038/s41598-024-83277-8,Water quality prediction and carbon reduction mechanisms in wastewater treatment in Northwest cities using Random Forest Regression model,2024,Scientific Reports,WWTP,experimental,RF,R2,0.99989,random_split,none,not_specified,none,pilot,,,False,False,True,False,False,False,ANN; DT; DTR; KNN; KNNR; LR; MLR; RF; RFR; SVR,NH4+-N; TP; and TN concentrations; effluent COD; effluent COD concentration
10.1038/s41598-025-09463-4,Predicting water quality index using stacked ensemble regression and SHAP based explainable artificial intelligence,2025,Scientific Reports,monitoring,literature_compiled,Stacking,R2,0.9952,k_fold,SHAP,not_specified,none,full_scale,1987.0,9 years (2005-2014),False,False,True,False,True,False,AdaBoost; CatBoost; ET; GBM; LR; RF; Stacking; XGBoost,Water Quality Index; Water Quality Index (WQI)
10.1039/c9ra06609h,A novel method for total chlorine detection using machine learning with electrode arrays,2019,RSC Advances,monitoring,experimental,SVR,R2,0.9689,k_fold,none,not_specified,none,lab,65.0,,False,False,True,False,False,False,ELM; KELM; PCA; SVR,total chlorine concentration; total chlorine concentration in water
10.1039/d2ra06952k,A method based on a one-dimensional convolutional neural network for UV-vis spectrometric quantification of nitrate and COD in water under random turbidity disturbance scenario,2023,RSC Advances,monitoring,experimental,CNN,R2,0.99946,random_split,none,tensorflow,none,lab,480700.0,,False,False,False,False,False,False,1D-CNN; CNN; KNN; PCR; PLSR; SVR,COD concentration; nitrate and COD concentration; nitrate and COD concentration in water; nitrate concentration
10.1039/d3ew00181d,Successful prediction for coagulant dosage and effluent turbidity of a coagulation process in a drinking water treatment plant based on the Elman neural network and random forest models,2023,Environmental Science: Water Research &amp; Technology,coagulation,SCADA,"ENN, RF",MAPE,2.38,random_split,none,not_specified,advisory,full_scale,2157.0,3 years,False,False,True,False,False,False,ANFIS; ANN; ENN; KNN; MLR; RF; RNN; SVM; SVR,coagulant dosage and effluent turbidity
10.1039/d3ew00829k,Enhanced data-driven monitoring of wastewater treatment plants using the Kolmogorov–Smirnov test,2024,Environmental Science: Water Research &amp; Technology,monitoring,simulated,PCA-KS,F1,0.9873,random_split,none,not_specified,none,simulation,1340.0,14 days,False,False,False,False,False,False,CUSUM; KS_test; PCA,drift; freezing; intermittent; precision degradation); sensor fault detection; sensor fault detection (bias
10.1039/d3va00124e,Ensemble hybrid machine learning to simulate dye/divalent salt fractionation using a loose nanofiltration membrane,2023,Environmental Science: Advances,membrane,experimental,ANFIS,RMSE,0.0003,k_fold,feature_importance,matlab,none,lab,,,False,False,False,False,False,False,ANFIS; ANN; LSSVM; NF; SAE; Stacking,dye and salt rejection (RJDS) (%); dye/salt rejection (RJDS) (%); dye/salt rejection percentage (RJDS %)
10.1039/d3va00170a,Using a supervised machine learning approach to predict water quality at the Gaza wastewater treatment plant,2024,Environmental Science: Advances,WWTP,experimental,GPR,other,0.975,k_fold,feature_importance,sklearn,none,full_scale,360.0,1 year,False,False,True,False,False,False,GPR; LightGBM; RF; XGBoost,COD; and BOD concentrations; and TSS; and TSS concentrations; effluent BOD; effluent TSS
10.1039/d5ra00933b,Water chemical oxygen demand prediction based on a one-dimensional multi-scale feature fusion convolutional neural network and ultraviolet-visible spectroscopy,2025,RSC Advances,monitoring,experimental,CNN,R2,0.9693,random_split,none,pytorch,none,lab,600.0,,False,False,True,False,False,False,1D-CNN; ANN; CNN; LS-SVM; MLR; PCA; PLS; PLSR; SVM; iPLSR; siPLSR,COD concentration; COD concentration in water; chemical oxygen demand (COD)
10.1051/e3sconf/202568000049/pdf,Data Science for Detecting the DO Elbow: Saving Energy During Aeration Cycles,2024,not_specified,control,SCADA,LR,MSE,0.9362,random_split,none,not_specified,advisory,full_scale,,4 days,False,False,True,False,False,False,LR,DO-Elbow detection in dissolved oxygen curves; DO-Elbow detection point in dissolved oxygen time series; dissolved oxygen (DO) curve segments
10.1061/joeedu.eeeng-7467,Unit Operation and Process Modeling with Physics-Informed Machine Learning,2024,Journal of Environmental Engineering,WWTP,simulated,PINN,R2,0.99,temporal_split,none,pytorch,none,simulation,,14 days,False,False,False,False,False,False,ANN; DT; KNN; LSTM; PINN; PINNs; RF; RNN; SVM,ASM1; COD components in activated sludge reactor); NH4+NH3 nitrogen; and adsorption breakthrough); dissolved oxygen; effluent concentration (species concentrations in CSTR; effluent species concentration; effluent species concentration (e.g.
10.1080/00986445.2024.2321447,The least-square support vector regression model for the dyes and heavy metal ions removal prediction,2024,Chemical Engineering Communications,WWTP,experimental,LSSVR,R2,0.99,random_split,none,matlab,none,lab,82.0,,False,False,False,False,False,False,ANN; LR; LSSVM; LSSVR; LW-PLSR; PCR; PLSR; SVR,Cd(II)); MB; and Cd(II); methylene blue) and heavy metal ions (Cd(II)); pollutant removal percentage (AO; removal percentage of dyes (auramine O; removal percentages of AO
10.1080/03067319.2020.1849663,Comparative study of RSM and ANN for multiple target optimisation in coagulation/precipitation process of contaminated waters: mechanism and theory,2020,International Journal of Environmental Analytical Chemistry,coagulation,experimental,ANN,R2,0.999,random_split,none,matlab,none,lab,33.0,,False,False,False,False,False,False,ANN; RSM,TOC; and colour removal efficiencies; and colour removal efficiency; turbidity
10.1088/1755-1315/1136/1/012047,Predicting iron exceedance risk in drinking water distribution systems using machine learning,2023,IOP Conference Series: Earth and Environmental Science,monitoring,SCADA,RF,accuracy,0.727,temporal_split,feature_importance,matlab,advisory,full_scale,17507.0,10 years,False,False,True,False,False,False,AdaBoost; GBM; RF; SOM; SVM,iron concentration exceedance risk (binary classification) in drinking water distribution system DMAs; iron exceedance above 200 µg/L; iron exceedance occurrence above threshold
10.1088/1755-1315/1136/1/012048,A data-driven model for the prediction of chlorine losses in water distribution trunk mains,2023,IOP Conference Series: Earth and Environmental Science,monitoring,SCADA,RF,NSE,0.92,k_fold,none,matlab,open_loop,full_scale,,7 months,False,False,True,False,False,False,ANN; NARX; RF; RNN; SVM,chlorine loss event magnitude; chlorine loss event magnitude at end of trunk main; chlorine loss events
10.1088/1755-1315/926/1/012048,The application of artificial neural network for quality prediction of industrial standard water,2021,IOP Conference Series: Earth and Environmental Science,monitoring,SCADA,ANN,MSE,0.0013,random_split,none,matlab,none,full_scale,827.0,6 months,False,False,True,False,False,False,ANN,turbidity; water turbidity (NTU)
10.1088/2515-7620/ade03b,Predicting biogas production in real scale anaerobic digester under dynamic conditions with machine learning approach,2025,Environmental Research Communications,sludge,SCADA,SVR,R2,0.8983,k_fold,SHAP,sklearn,none,full_scale,300.0,3 years,False,False,True,False,True,False,ANFIS; ANN; Bayesian; DT; GBM; LR; PR; RF; SVM; SVR,biogas production; biogas production (m³/day)
10.1088/2631-8695/ae1dc9,An Att-LSTM based soft sensor for wastewater BOD prediction with local explanation and global feature selection using LIME,2025,Engineering Research Express,WWTP,SCADA,Att-LSTM,R2,0.9542,random_split,LIME,not_specified,none,full_scale,365.0,1 year,False,False,True,False,False,False,ANN; Att-LSTM; GRU; LR; LSTM; Lasso; RBFNN; Transformer,effluent BOD concentration
10.1108/agjsr-07-2022-0129,Removal efficiency prediction model based on the artificial neural network for pollution prevention in wastewater treatment plants,2023,Arab Gulf Journal of Scientific Research,WWTP,simulated,ANN,other,0.9909,random_split,none,matlab,none,simulation,2193.5,,False,False,False,False,False,False,ANN,TN; TP and TSS; removal efficiency of BOD
10.1109/access.2019.2900071,A Biological Mechanism Based Structure Self-Adaptive Algorithm for Feedforward Neural Network and Its Engineering Applications,2019,IEEE Access,WWTP,simulated,SSAFNN,RMSE,0.0732,random_split,none,matlab,none,simulation,623.0,14 days,False,False,False,False,False,False,ANN; FNN,effluent SNH concentration; effluent ammonia nitrogen concentration (SNH)
10.1109/access.2019.2939289,Optimized Forecast Components-SVM-Based Fault Diagnosis With Applications for Wastewater Treatment,2019,IEEE Access,monitoring,simulated,OFC-SVM,accuracy,1.0,k_fold,none,not_specified,none,simulation,1000.0,14 days,False,False,False,False,False,False,ForeCA; GA; GS; PCA; PSO; SVM,sensor fault classification (normal vs. fault condition); sensor fault diagnosis (classification); sensor fault status
10.1109/access.2019.2950852,LSTM-Based Wastewater Treatment Plants Operation Strategies for Effluent Quality Improvement,2019,IEEE Access,control,simulated,LSTM,RMSE,0.12,k_fold,none,not_specified,closed_loop,simulation,58464.0,609 days,False,False,False,False,False,False,LSTM; MLP; MPC; RNN,e) and total nitrogen (SNtot; e) concentrations; effluent SNH and SNtot concentrations; effluent ammonium (SNH
10.1109/access.2019.2956494,Outlier Detection for Monitoring Data Using Stacked Autoencoder,2019,IEEE Access,monitoring,mixed,SAE,accuracy,0.983,random_split,none,matlab,none,mixed,10472.0,,False,False,False,False,False,False,ANN; DNN; GA; K-means; KNN; PCA; RF; SAE; iForest,outlier detection; outlier location / reconstruction error; outlier/anomaly detection in monitoring data
10.1109/access.2020.3028683,Effluent Quality Prediction of Papermaking Wastewater Treatment Processes Using Stacking Ensemble Learning,2020,IEEE Access,WWTP,mixed,Stacking,R2,0.88,k_fold,none,not_specified,none,mixed,1515.0,14 days,False,False,True,False,False,False,ANN; AdaBoost; DT; LR; PLS; RF; SVR; Stacking,SNHeff; SNOeff; SS; SSeff; ammonia; and nitrate concentrations; effluent COD; effluent CODeff; effluent ammonia concentration (SNHeff)
10.1109/access.2020.3030820,Forecasting of Wastewater Treatment Plant Key Features Using Deep Learning-Based Models: A Case Study,2020,IEEE Access,WWTP,SCADA,GRU,MAPE,0.07,temporal_split,none,not_specified,none,full_scale,2557.0,7 years,False,False,True,False,False,False,BiLSTM; GRU; LSTM; RNN,and power consumption; effluent BOD; effluent chloride; influent BOD; influent flow; influent temperature; power consumption
10.1109/access.2020.3032531,Energy and Materials-Saving Management via Deep Learning for Wastewater Treatment Plants,2020,IEEE Access,WWTP,SCADA,PCA-CNN-LSTM,RMSE,1.2984,random_split,none,keras,advisory,full_scale,730.0,2 years,False,False,True,False,False,False,CNN; GA; LSTM; PCA; RNN,BOD5; COD; E. coli; E. coli); Mud volume); NH3-N; SS; TN; TP; effluent parameters (BOD5; effluent quality parameters (BOD5; effluent quality parameters (COD; mud volume); pH
10.1109/access.2021.3094466,Deep Reinforcement Learning-Based Smart Joint Control Scheme for On/Off Pumping Systems in Wastewater Treatment Plants,2021,IEEE Access,control,SCADA,RL,other,3.94,temporal_split,none,not_specified,none,full_scale,94176.0,1 year,False,False,True,False,False,False,DNN; DQN; DRL; ILP; MPC; PPO; RL,energy cost; on/off pump control signals; pump on/off control signals for energy cost minimization
10.1109/access.2021.3123225,Using LSTM Neural Network Based on Improved PSO and Attention Mechanism for Predicting the Effluent COD in a Wastewater Treatment Plant,2021,IEEE Access,WWTP,SCADA,LSTM,R2,0.842,temporal_split,attention_weights,keras,none,full_scale,396.0,13 months,False,False,True,False,False,False,ANFIS; ANN; FFNN; GRU; LR; LSTM; RNN; SVM,effluent COD; effluent COD concentration
10.1109/access.2022.3162932,Desalination Plant Performance Prediction Model Using Grey Wolf Optimizer Based ANN Approach,2022,IEEE Access,membrane,literature_compiled,ANN,R2,0.989,random_split,none,matlab,none,mixed,88.0,,False,False,True,False,False,False,ANN; GA; GWO; PSO; RSM; SVR,permeate flux
10.1109/access.2022.3216924,Prediction and Detection of Sewage Treatment Process Using N-BEATS Autoencoder Network,2022,IEEE Access,WWTP,SCADA,N-BEATS,R2,0.96515,temporal_split,none,not_specified,advisory,full_scale,,4 years 3 months,False,False,True,False,False,False,CNN; CNN-LSTM; DeepAR; KNN; LSTM; LSTNet; LightGBM; N-BEATS; OCSVM; SVR; TCN; Transformer,dissolved oxygen; final sedimentation basin outflow suspended solid; reaction tank pH; return sludge amount
10.1109/access.2023.3292543,Enhancing Time Series Forecasting With an Optimized Binary Gravitational Search Algorithm for Echo State Networks,2023,IEEE Access,WWTP,experimental,BIGSA-ESN,RMSE,0.104,temporal_split,none,matlab,none,pilot,1000.0,6 years,False,False,True,False,False,False,ANN; ARIMA; BIGSA; BPSO; ELM; ESN; GA; GSA; RBF; RNN; SRDNN,effluent NH4-N concentration
10.1109/access.2025.3576826,"A Real-Time ETP Outlet Monitoring Framework Leveraging Environmental IoT, Colorimetry, and Learning Theory",2025,IEEE Access,monitoring,experimental,CNN,accuracy,0.983,k_fold,none,not_specified,advisory,lab,4707.0,,True,False,True,False,False,False,CNN; KNN; LSTM,ETP operational status and water quality index; Water Quality Index (WQI); Water Quality Index (WQI) forecasting and water quality classification
10.1109/acie51979.2021.9381095,Corrosion Prediction Model of Circulating Water in Refinery Unit Based on PCA-PSO-BP,2021,2021 IEEE Asia Conference on Information Engineering (ACIE),monitoring,SCADA,ANN,MAPE,8.32,random_split,none,not_specified,none,full_scale,23.0,2 years,False,False,True,False,False,False,ANN; BP; DT; RF; SVR,corrosion rate; corrosion rate of 20# carbon steel; corrosion rate of circulating water equipment (coupon corrosion rate)
10.1109/cac57257.2022.10055712,Uncertainty and Reliability Analysis of Neural Networks Based Soft-sensors With Applications in Wastewater Treatment<sup>*</sup>,2022,2022 China Automation Congress (CAC),WWTP,simulated,LSTM,,,random_split,none,not_specified,none,simulation,2880.0,1 month,False,False,False,False,False,True,ANN; BPNN; ELM; LASSO; LSTM; RBFNN,effluent COD; effluent COD concentration
10.1109/ccdc.2019.8832519,Wastewater treatment sensor fault detection using RBF neural network with set membership estimation,2019,2019 Chinese Control And Decision Conference (CCDC),monitoring,simulated,ANN,other,0.234,temporal_split,none,not_specified,none,simulation,1344.0,14 days,False,False,False,False,False,True,ANN; RBF,effluent COD and TSS; effluent COD and TSS concentration; effluent COD and TSS sensor fault detection
10.1109/colcaci67437.2025.11230782,Machine Learning for Effluent Quality Classification in Wastewater Treatment,2025,2025 IEEE Colombian Conference on Applications of Computational Intelligence (ColCACI),WWTP,literature_compiled,SVM,other,0.88,k_fold,feature_importance,sklearn,advisory,full_scale,495.0,,False,False,True,False,True,False,KNN; RF; SVM; XGBoost,Red: BOD >= 22 mg/L); effluent BOD quality category (Green: BOD < 22 mg/L; effluent quality category (BOD < 22 mg/L or BOD ≥ 22 mg/L); effluent quality category (Green/Red based on BOD)
10.1109/ecbios57802.2023.10218420,Machine Learning Approach to IoT- Based Water Quality Monitoring,2023,"2023 IEEE 5th Eurasia Conference on Biomedical Engineering, Healthcare and Sustainability (ECBIOS)",monitoring,experimental,LightGBM,MAE,0.1503,temporal_split,none,not_specified,none,pilot,,3 weeks,False,False,True,False,False,False,ANN; LightGBM; RF,NH3; ORP; future values of water quality (NH3; pH; temperature; temperature); water quality parameters (NH3
10.1109/etfa54631.2023.10275522,Optimal set point generation based on deep reinforcement learning and transfer knowledge for Wastewater Treatment Plants,2023,2023 IEEE 28th International Conference on Emerging Technologies and Factory Automation (ETFA),control,simulated,RL,other,,external,none,matlab,closed_loop,simulation,,14 days,False,False,False,False,False,False,ANN; DNN; RL,dissolved oxygen set point; dissolved oxygen set point for aeration control; oxygen set point for aeration control
10.1109/gitcon65266.2025.11376980,Predicting Agricultural Waste Biogas Potential in Anaerobic Digestion Using XGBoost Algorithm,2025,2025 Global Conference on Information Technology and Communication Networks (GITCON),sludge,experimental,XGBoost,R2,0.92,random_split,feature_importance,not_specified,none,lab,1000.0,,False,False,False,False,False,False,DT; XGBoost,biogas yield (m3/kg); biogas yield (m³/kg); biogas yield from agricultural waste
10.1109/icamimia54022.2021.9807734,Process Dynamics Modeling on Polishing Unit of Artificial Neural Network-Based Produced Water Treatment System,2021,"2021 International Conference on Advanced Mechatronics, Intelligent Manufacture and Industrial Automation (ICAMIMIA)",WWTP,SCADA,ANN,RMSE,14.7919,random_split,none,matlab,none,full_scale,42.0,,False,False,True,False,False,False,ANN,effluent COD; effluent COD concentration
10.1109/iccea62105.2024.10604051,Simulation study on intelligent analysis of turbidity in water distribution network based on BP and RBF neural network,2024,2024 5th International Conference on Computer Engineering and Application (ICCEA),monitoring,mixed,RBF,other,4.0,none_reported,none,matlab,advisory,pilot,,,False,False,False,False,False,False,ANN; RBF,turbidity at monitoring points; turbidity in water distribution network
10.1109/iccebs58601.2023.10449164,Smart Dosing: Harnessing AI for Alum dosage Predictions in Water Treatment,2023,2023 Intelligent Computing and Control for Engineering and Business Systems (ICCEBS),coagulation,not_specified,LR,accuracy,0.51545,none_reported,none,not_specified,none,lab,,,False,False,False,False,False,False,LR; MLR; RF; RFR; SVM,alum dosage
10.1109/icces63552.2024.10859485,Water Quality Evaluation using Machine Learning,2024,2024 9th International Conference on Communication and Electronics Systems (ICCES),monitoring,experimental,RF,accuracy,0.66,random_split,none,not_specified,none,lab,,,False,False,False,False,False,False,ANN; DT; KNN; RF,Potability; water potability; water potability classification
10.1109/iceca63461.2024.10800837,Edge based Device using Machine Learning for Water Quality Management in a Smart Campus,2024,"2024 8th International Conference on Electronics, Communication and Aerospace Technology (ICECA)",monitoring,literature_compiled,DT,accuracy,0.83,random_split,feature_importance,not_specified,advisory,lab,,,True,False,True,False,False,False,DT; LR; RF,water potability (contaminated or safe); water potability/contamination status; water quality classification
10.1109/ichora65333.2025.11017189,"Enhancing Explainability of Chemical Oxygen Demand Prediction Models for Industrial Wastewater Treatment in Delfzijl, the Netherlands",2025,"2025 7th International Congress on Human-Computer Interaction, Optimization and Robotic Applications (ICHORA)",WWTP,SCADA,CatBoost,R2,0.9866,random_split,SHAP,not_specified,none,full_scale,,,False,False,True,False,False,False,CatBoost; RF; XGBoost,Chemical Oxygen Demand (COD) concentration; effluent COD concentration
10.1109/icipca65645.2025.11138690,CNN-LSTM: A Deep Learning Model for Long-Term Prediction of Tap Water Quality,2025,2025 IEEE 3rd International Conference on Image Processing and Computer Applications (ICIPCA),monitoring,SCADA,CNN-LSTM,R2,0.8299,random_split,none,pytorch,none,full_scale,2450000.0,8 years,False,False,True,False,False,False,ARIMA; CNN; GRU; LSTM; RNN; SVM,and residual chloride; pH; residual chloride; residual chloride); tap water quality indicators (pH; turbidity
10.1109/icivc58118.2023.10270767,Monitoring Effluent Water Quality in Wastewater Treatment Process Based on Multi-model Online Soft Sensing Method,2023,"2023 8th International Conference on Image, Vision and Computing (ICIVC)",WWTP,SCADA,DCMNN,MAE,0.1991,temporal_split,none,not_specified,none,full_scale,504.0,1 year,False,False,True,False,False,False,ANN; BP; DCMNN; LM; RBF; RNN,effluent ammonia nitrogen (NH3-N); effluent ammonia nitrogen (NH3-N) concentration; effluent ammonia nitrogen concentration
10.1109/icnsc48988.2020.9238099,Deep Learning Based Anomaly Detection in Water Distribution Systems,2020,"2020 IEEE International Conference on Networking, Sensing and Control (ICNSC)",monitoring,SCADA,LSTM,F1,0.7819,random_split,none,not_specified,none,full_scale,279132.0,"August 3, 2016 to February 13, 2017",False,False,True,False,True,False,CNN; DNN; LR; LSTM; RF; RNN; XGBoost; xgbDART; xgbTree,Anomaly event (EVENT); anomaly event detection (binary classification of normal/abnormal water quality); water quality anomaly (EVENT)
10.1109/icstcc62912.2024.10744668,Enhancing Effluent Quality Predictions in Wastewater Treatment with LSTM Neural Network,2024,"2024 28th International Conference on System Theory, Control and Computing (ICSTCC)",WWTP,simulated,LSTM,R2,0.99,k_fold,none,matlab,open_loop,simulation,48000.0,609 days,False,False,False,False,False,False,ANN; CNN; LSTM; RNN,EQI); Effluent Quality Index (EQI) variables; Effluent Quality Index (EQI) variables including nitrate-nitrogen concentration (SNO; e) and total suspended solids (TSSe); effluent quality parameters (TSS; nitrate-nitrogen
10.1109/ictech58362.2023.00046,Prediction of Coagulant Dosage in Waterworks Based on Ensemble Learning,2023,2023 12th International Conference of Information and Communication Technology (ICTech),coagulation,SCADA,Stacking,R2,0.993,k_fold,none,not_specified,advisory,full_scale,,,False,False,True,False,False,False,BP; Bayesian; GBDT; KNN; LR; LSTM; LightGBM; MARS; RF; RNN; SVR; Stacking; XGBoost,coagulant dosage
10.1109/idaacs68557.2025.11322119,Prediction of Biogas Production Using LSTM-Based Neural Networks,2025,2025 IEEE 13th International Conference on Intelligent Data Acquisition and Advanced Computing Systems: Technology and Applications (IDAACS),sludge,SCADA,ARIMA-LSTM Hybrid,R2,0.94,random_split,none,not_specified,none,full_scale,,1 year,False,False,True,False,False,False,ANN; ARIMA; GRU; LSTM; RF; SVR; XGBoost,biogas production; daily biogas production volume; daily biogas yield
10.1109/idaacs68557.2025.11322245,Biogas Production Forecasting Using Adaptive Neuro-Fuzzy Inference System,2025,2025 IEEE 13th International Conference on Intelligent Data Acquisition and Advanced Computing Systems: Technology and Applications (IDAACS),sludge,literature_compiled,ANFIS,accuracy,0.78,random_split,none,matlab,none,full_scale,250.0,,False,False,False,False,False,False,ANFIS,biogas yield; biogas yield (m³/t of raw material)
10.1109/ie61493.2024.10599915,Multitarget Wastewater Quality Assessment in a Smart Industry Context,2024,2024 International Conference on Intelligent Environments (IE),monitoring,experimental,ANN,R2,0.94,k_fold,feature_importance,pytorch,none,lab,224.0,,False,False,True,False,False,False,ANN; CNN; DT; KNN; LR; MLP; RF; SVM; SVR,COD; TSS; and chlorides from UV-Vis spectral data; and conductivity; chlorides; conductivity; effluent COD
10.1109/iet-iceta56553.2022.9971667,Soft Sensing Measurement of Dissolved Ammonia Nitrogen in Tank-Based Eel Aquaculture Systems Utilizing Deep Learning,2022,2022 IET International Conference on Engineering Technologies and Applications (IET-ICETA),monitoring,literature_compiled,TabNet,R2,0.8585,random_split,attention_weights,tensorflow,none,lab,1379.0,,False,False,True,False,False,False,ANN; CNN; DNN; TabNet,dissolved NH3-N concentrations; dissolved ammonia nitrogen (NH3-N) concentration
10.1109/iscsic60498.2023.00050,Using machine learning for anomaly detection in drinking water from distribution network,2023,2023 7th International Symposium on Computer Science and Intelligent Control (ISCSIC),monitoring,literature_compiled,RF,accuracy,0.93,random_split,feature_importance,not_specified,advisory,simulation,131000.0,,False,False,False,False,False,False,ANN; DT; KNN; RF; XGBoost,potability (potable vs non-potable); water potability (potable vs non-potable classification); water potability classification
10.1109/jiot.2020.3034311,Detection of Anomalies in Industrial IoT Systems by Data Mining: Study of CHRIST Osmotron Water Purification System,2021,IEEE Internet of Things Journal,monitoring,experimental,SVM,accuracy,1.0,random_split,none,not_specified,advisory,full_scale,30000.0,2 weeks,False,False,True,False,False,False,ANN; DT; SVM,anomaly/fault detection in water purification system; anomaly/fault detection in water purification system (normal vs. faulty operation classification); system anomaly/fault status
10.1109/jsen.2020.3010134,Development of Chemical Oxygen on Demand (COD) Soft Sensor Using Edge Intelligence,2020,IEEE Sensors Journal,monitoring,mixed,KNN,R2,0.9942,k_fold,none,not_specified,none,full_scale,16000.0,,True,False,True,False,False,False,ANN; KNN; LR; MLP; MLR; RF; SVM; SVR,COD concentration; effluent COD
10.1109/nigercon62786.2024.10927288,Prediction of Cumulative biogas yield for FFV using Support Vector Regression,2024,2024 IEEE 5th International Conference on Electro-Computing Technologies for Humanity (NIGERCON),sludge,literature_compiled,SVR,R2,0.9003,random_split,none,matlab,none,lab,,,False,False,True,False,False,False,ANFIS; ANN; LSSVM; SVR,cumulative biogas yield; cumulative biogas yield from fruit; food and vegetable waste
10.1109/phm-chongqing.2018.00128,"A Comparative Study of Extreme Learning Machine, Least Squares Support Vector Machine, Back Propagation Neural Network for Outlet Total Phosphorus Prediction",2018,2018 Prognostics and System Health Management Conference (PHM-Chongqing),WWTP,SCADA,ELM,R2,0.9859,random_split,none,not_specified,none,full_scale,365.0,1 year,False,False,True,False,False,False,ANN; BPNN; ELM; LSSVM,effluent TP concentration; effluent total phosphorus concentration (TP(out)); outlet TP concentration
10.1109/smc58881.2025.11342533,Enhanced Biogas Production Prediction Using BiogasNET with BiogasGAN,2025,"2025 IEEE International Conference on Systems, Man, and Cybernetics (SMC)",sludge,SCADA,BiogasNET (CNN+LSTM+Attention),RMSE,0.029,random_split,attention_weights,not_specified,none,full_scale,113.0,1 year,False,False,True,False,False,False,ANN; CNN; GAN; KNN; LSTM; RF; SVR; XGBoost,biogas production; biogas production (m3/day)
10.1109/southeastcon56624.2025.10971455,Improvement of Machine Learning-Based Predictive Models for Wastewater Treatment Processes Using Time-Series Influent Data,2025,SoutheastCon 2025,control,simulated,LSTM,R2,0.9311,random_split,none,tensorflow,none,simulation,2016.0,21 days,False,False,False,False,False,False,DNN; GB; GBM; KNN; LSTM; RF,one-hour future aeration intensity; one-hour future aeration intensity of air blowers
10.1109/southeastcon56624.2025.10971695,Reinforcement Learning-Based Control Framework for Wastewater Treatment Process Aeration Control,2025,SoutheastCon 2025,control,simulated,RL,other,16.0,none_reported,none,matlab,closed_loop,simulation,,14 days,False,False,False,False,False,False,MPC; RL; SAC,aeration rate (KLa) and DO setpoint; effluent total nitrogen (TN); effluent total nitrogen (TN) violation count and aeration rate (KLa5)
10.1109/tai.2023.3347182,Fuzzy Neural Network-Based Adaptive Asymmetric Constraint Control in Wastewater Treatment Process,2024,IEEE Transactions on Artificial Intelligence,control,simulated,ANN,other,0.0017923,none_reported,none,matlab,closed_loop,simulation,1344.0,14 days,False,False,False,False,False,False,ANN; FNN; MPC; PID; RBF,DO and NO3-N concentrations tracking control; DO concentration and NO3-N concentration; dissolved oxygen (DO) and nitrate nitrogen (NO3-N) concentrations
10.1109/tase.2025.3584762,Optimizing Wastewater Treatment Control Using Policy-Constrained Offline Reinforcement Learning and Lyapunov Density Model,2025,IEEE Transactions on Automation Science and Engineering,control,simulated,PCORL-CL,other,0.035954,temporal_split,none,not_specified,closed_loop,simulation,40320.0,14 days,False,False,False,False,False,False,ADP; ANN; CVAE; DNN; MPC; RL,2) and dissolved oxygen concentration (S_O; 5) tracking control; S_NO2 and S_O5 concentrations (nitrate-nitrogen and dissolved oxygen); nitrate-nitrogen and dissolved oxygen concentrations (SNO2 and SO5); nitrate-nitrogen concentration (S_NO
10.1109/tcyb.2022.3164476,Multiobjective Operation Optimization of Wastewater Treatment Process Based on Reinforcement Self-Learning and Knowledge Guidance,2023,IEEE Transactions on Cybernetics,control,simulated,OS-RVFL,other,,none_reported,none,not_specified,closed_loop,simulation,1344.0,14 days,False,False,False,False,False,False,ANN; KNN; MOPSO; OS-RVFL; PID; RL; k-NN,effluent quality and energy consumption; energy consumption (EC) and effluent quality (EQ) indices for setpoint optimization of dissolved oxygen (SO5) and nitrate concentration (SNO2); energy consumption and effluent quality indices
